Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
121958,2.328619008,-0.375493886,0.119659305,-0.469398162,1.457484298,1.533500841,0.03622057,0.480882654,1.067959675,0.406703684,-0.438312276,0.342948764,0.819228148,0.381875177,0.652494616,-0.408108238,-0.222620301,-0.10882587,-0.252429607,-1.400585638,0.83634572,-1.354787432,0.129280526,-0.25598668,-0.989781629,1.14386125,-0.433154716,-0.716236141,4934.095669,0
146867,0.725151399,1.182352844,-0.837468016,1.531642466,-1.523858637,-0.395021864,-0.724902926,0.698164422,0.751347461,0.66177848,1.841850933,0.732675905,-0.443856939,1.293767923,0.529699986,-0.768100464,-0.169948051,0.850723834,-0.760555699,-0.012857353,-1.497970321,0.524756704,-0.255559316,0.517411795,0.88215405,-0.593492449,0.028147213,0.667107151,3276.628407,0
131932,0.679973076,0.481783708,-1.167651782,-2.293941585,-0.344849752,-0.451891969,-0.517622744,-0.3051623,-0.052725084,0.516695534,-1.057058638,1.413573034,0.669578431,0.161043841,0.920550919,-1.357495159,-0.39676599,0.418685951,-1.455311078,-0.481616041,1.013234234,-1.025782422,0.931736921,0.102751008,-0.179175529,-0.939255295,0.156801233,1.655041359,1245.984431,1
103694,0.575468667,-0.69586142,0.009140676,0.302627632,2.329617483,1.533068826,0.559748028,0.68370915,-1.47396418,-1.287529174,0.188048566,-1.057910614,-0.485144265,-0.037174235,0.227016002,1.843844132,0.538217812,-0.473356938,-0.661412889,0.340120441,-2.076540876,0.744764089,-0.113223749,-0.817840555,-0.634789918,-0.586679586,1.695976026,-0.661281356,2821.797686,0
119879,-0.252685688,1.401429002,-1.930852939,0.828010406,0.170565383,-0.065453978,-1.436060495,0.454688952,0.212642482,-1.202512041,-1.70126007,-0.081994621,-0.108740363,0.125444519,0.307297551,3.185094482,0.287340157,-1.100427588,-1.77625186,1.840732276,-0.906791311,0.706205636,1.11525505,0.54201683,0.409903103,1.264513055,-0.912180834,0.90522103,4028.439994,0
110268,0.39208453,-1.141671822,-0.674290293,0.701538458,-0.03485195,1.162877694,0.133135646,0.694816143,-0.353942483,-0.184786709,-0.93614695,-1.0005194,0.57388753,-0.699531188,-0.002074472,0.210479124,0.979646864,-0.500280665,0.255805492,-1.172345106,2.041638217,-0.296810895,0.43565821,-0.777781771,0.225054669,-0.469931183,1.064521211,-0.412084793,4811.075015,0
54886,-0.188896688,-0.37670043,2.551174253,0.787272988,-0.25804243,0.42435944,0.030439562,-1.030075882,0.554882305,-1.789271949,-0.213400928,-0.928491261,0.08538231,-1.243450802,1.049734356,-0.330630564,-0.111197354,0.18463858,-0.314966814,1.096898369,0.153943448,0.285537953,0.874880281,-1.747468451,-0.193875141,-0.778739286,-1.477534363,-0.307558914,26.35361651,0
137337,0.553073276,-0.206314804,0.650222393,0.931115908,1.274435144,0.437771461,-1.049949578,1.276098829,0.646603398,0.260897086,0.270194121,-0.429796438,0.316237251,-0.984507689,1.840403765,1.737883518,1.259998608,-0.816054059,1.084130743,0.903097454,-1.045261431,-0.291771315,-0.093287927,1.033081938,-0.496676452,1.601388442,-1.237034682,0.37782127,2618.927766,0
168266,-0.033686527,0.605223701,-0.881424906,-0.603979887,-0.938993196,-0.244047373,0.158072897,0.450642937,1.319075628,-0.074835766,1.240731977,1.440355945,1.313044387,-0.426302518,0.749664819,0.601024583,0.597509359,-0.152865445,-0.725078646,0.654396303,-1.362373782,-0.070778247,1.283514852,-1.003504957,-0.904036768,-0.136175174,-0.940303522,-1.966593947,2266.61818,0
87498,-0.950348183,1.115433297,1.40416594,-1.101483757,0.926174527,0.502210046,-0.761553175,-0.11813639,-1.061187697,-0.914461991,-0.69932931,1.104818233,-0.364966082,-0.883348605,0.49746231,-0.754176888,1.176339673,1.08767245,-0.257674199,0.261838967,-1.266339603,-1.281232345,-0.51164467,0.78927762,1.428534645,0.653632502,-1.930201694,-1.724271881,2073.049139,0
112727,-0.870572616,1.052791557,-0.992043561,-2.034681673,-0.276751031,-0.131491812,2.197483721,-0.094012244,2.138367242,-0.551742646,0.420643911,-0.074823446,-1.037599696,1.348718203,-0.217349637,-0.878221581,-0.595842575,1.174903126,1.217803652,2.074586047,-0.947170174,-3.394680608,-1.832819381,-0.236990673,1.496040304,-0.941008572,0.44764879,0.057408734,2519.684694,0
126324,-0.984272375,0.22374832,-0.553695153,-0.362602834,-0.749842923,-0.803803448,1.201966635,-0.038826289,0.895287327,0.109727288,-1.339107082,-2.156101758,-0.906762063,-0.705369605,0.2429701,0.818875395,1.56764975,0.47817332,0.890020609,1.290254383,0.974309561,-0.125849992,-1.095394525,0.645500005,-1.310970659,-0.395300978,1.219534145,-2.618576599,2018.126603,0
16023,0.970900732,-0.280269104,-1.14885141,-0.777533124,-0.231102651,-0.104254315,0.06725996,-0.828926629,0.714250846,-1.493523765,1.009853494,0.392778193,-1.12447647,0.393625109,-0.394992954,0.383132809,-0.555484968,1.363280271,0.136316533,-0.583919922,0.547903894,-0.994354881,0.120666721,-0.785070191,-0.388627836,-0.202107506,0.906853854,1.085265434,1720.733497,0
41090,-0.617446612,-1.825984242,0.256079879,1.161608814,-0.046380486,1.287830789,-0.431748525,1.189160013,1.916408812,-0.603400033,1.310382302,0.369672155,1.607432551,0.584360832,-0.615878241,1.122324183,-0.508635769,-1.265368207,-1.03475748,0.049145811,1.067416188,-0.855000452,0.270757651,0.854927394,0.453298374,-0.578622933,-1.542024382,1.335044314,574.9239989,0
